GPS time,X,Y,Z,Lat,Lon
2223:048413.400,2938716.528,2229636.075,5186004.970,54.75727852,37.18798463
2223:048413.600,2938716.528,2229636.076,5186004.970,54.75727850,37.18798465
2223:048413.800,2938716.528,2229636.077,5186004.970,54.75727850,37.18798465
2223:048414.000,2938716.528,2229636.078,5186004.972,54.75727850,37.18798466
2223:048414.200,2938716.528,2229636.079,5186004.972,54.75727850,37.18798468
2223:048414.400,2938716.528,2229636.078,5186004.971,54.75727850,37.18798468
2223:048414.600,2938716.527,2229636.076,5186004.968,54.75727850,37.18798468
2223:048414.800,2938716.527,2229636.077,5186004.967,54.75727850,37.18798467
2223:048415.000,2938716.528,2229636.077,5186004.967,54.75727849,37.18798468
2223:048415.200,2938716.526,2229636.076,5186004.969,54.75727848,37.18798467
2223:048415.400,2938716.526,2229636.075,5186004.968,54.75727851,37.18798467
2223:048415.600,2938716.526,2229636.074,5186004.970,54.75727851,37.18798466
2223:048415.800,2938716.527,2229636.073,5186004.972,54.75727852,37.18798465
2223:048416.000,2938716.527,2229636.075,5186004.970,54.75727853,37.18798464
2223:048416.200,2938716.528,2229636.076,5186004.971,54.75727851,37.18798465
2223:048416.400,2938716.528,2229636.075,5186004.970,54.75727851,37.18798465
2223:048416.600,2938716.528,2229636.075,5186004.970,54.75727851,37.18798464
2223:048416.800,2938716.528,2229636.073,5186004.969,54.75727851,37.18798464
2223:048417.000,2938716.529,2229636.073,5186004.970,54.75727851,37.18798462
2223:048417.200,2938716.529,2229636.072,5186004.970,54.75727851,37.18798461
2223:048417.400,2938716.531,2229636.074,5186004.973,54.75727851,37.18798460
2223:048417.600,2938716.531,2229636.074,5186004.977,54.75727851,37.18798461
2223:048417.800,2938716.531,2229636.074,5186004.975,54.75727853,37.18798460
2223:048418.000,2938716.532,2229636.076,5186004.976,54.75727852,37.18798460
2223:048418.200,2938716.530,2229636.074,5186004.973,54.75727852,37.18798462
2223:048418.400,2938716.529,2229636.075,5186004.974,54.75727852,37.18798462
2223:048418.600,2938716.529,2229636.074,5186004.974,54.75727852,37.18798463
2223:048418.800,2938716.528,2229636.072,5186004.974,54.75727853,37.18798462
2223:048419.000,2938716.528,2229636.072,5186004.973,54.75727854,37.18798461
2223:048419.200,2938716.527,2229636.073,5186004.971,54.75727854,37.18798460
2223:048419.400,2938716.526,2229636.073,5186004.972,54.75727853,37.18798463
2223:048419.600,2938716.527,2229636.074,5186004.970,54.75727853,37.18798464
2223:048419.800,2938716.528,2229636.076,5186004.973,54.75727852,37.18798464
2223:048420.000,2938716.528,2229636.076,5186004.972,54.75727852,37.18798466
2223:048420.200,2938716.528,2229636.076,5186004.972,54.75727851,37.18798466
