GPS time,X,Y,Z,Lat,Lon
2223:048951.600,2938713.245,2229644.132,5186003.048,54.75725148,37.18811555
2223:048951.800,2938713.221,2229644.093,5186003.077,54.75725200,37.18811515
2223:048952.000,2938713.208,2229644.057,5186003.103,54.75725247,37.18811491
2223:048952.200,2938713.205,2229644.046,5186003.109,54.75725284,37.18811459
2223:048952.400,2938713.198,2229644.043,5186003.107,54.75725294,37.18811447
2223:048952.600,2938713.197,2229644.047,5186003.108,54.75725298,37.18811450
2223:048952.800,2938713.198,2229644.047,5186003.106,54.75725297,37.18811455
2223:048953.000,2938713.199,2229644.047,5186003.105,54.75725296,37.18811455
2223:048953.200,2938713.200,2229644.052,5186003.107,54.75725294,37.18811454
2223:048953.400,2938713.194,2229644.064,5186003.107,54.75725293,37.18811459
2223:048953.600,2938713.200,2229644.075,5186003.105,54.75725291,37.18811480
2223:048953.800,2938713.192,2229644.073,5186003.111,54.75725282,37.18811487
2223:048954.000,2938713.184,2229644.078,5186003.110,54.75725290,37.18811493
2223:048954.200,2938713.170,2229644.056,5186003.135,54.75725292,37.18811506
2223:048954.400,2938713.148,2229644.029,5186003.163,54.75725323,37.18811493
2223:048954.600,2938713.112,2229643.989,5186003.187,54.75725362,37.18811480
2223:048954.800,2938713.101,2229643.961,5186003.203,54.75725413,37.18811463
2223:048955.000,2938713.084,2229643.942,5186003.220,54.75725441,37.18811440
2223:048955.200,2938713.067,2229643.915,5186003.237,54.75725467,37.18811433
2223:048955.400,2938713.057,2229643.889,5186003.255,54.75725498,37.18811415
2223:048955.600,2938713.035,2229643.856,5186003.288,54.75725525,37.18811392
2223:048955.800,2938713.030,2229643.808,5186003.316,54.75725570,37.18811372
2223:048956.000,2938713.007,2229643.769,5186003.343,54.75725608,37.18811317
2223:048956.200,2938712.982,2229643.734,5186003.385,54.75725654,37.18811291
2223:048956.400,2938712.951,2229643.699,5186003.425,54.75725705,37.18811271
2223:048956.600,2938712.908,2229643.663,5186003.467,54.75725759,37.18811257
2223:048956.800,2938712.881,2229643.634,5186003.487,54.75725823,37.18811251
2223:048957.000,2938712.852,2229643.608,5186003.507,54.75725861,37.18811242
2223:048957.200,2938712.841,2229643.597,5186003.499,54.75725900,37.18811237
2223:048957.400,2938712.842,2229643.594,5186003.492,54.75725908,37.18811233
2223:048957.600,2938712.843,2229643.594,5186003.496,54.75725905,37.18811229
2223:048957.800,2938712.839,2229643.589,5186003.499,54.75725906,37.18811228
2223:048958.000,2938712.814,2229643.564,5186003.526,54.75725912,37.18811226
2223:048958.200,2938712.800,2229643.543,5186003.540,54.75725951,37.18811218
2223:048958.400,2938712.780,2229643.472,5186003.569,54.75725976,37.18811204
2223:048958.600,2938712.766,2229643.441,5186003.588,54.75726034,37.18811136
2223:048958.800,2938712.757,2229643.404,5186003.604,54.75726067,37.18811112
2223:048959.000,2938712.753,2229643.381,5186003.612,54.75726097,37.18811074
2223:048959.200,2938712.739,2229643.361,5186003.629,54.75726113,37.18811049
2223:048959.400,2938712.719,2229643.321,5186003.659,54.75726139,37.18811037
2223:048959.600,2938712.701,2229643.264,5186003.684,54.75726184,37.18811006
2223:048959.800,2938712.675,2229643.224,5186003.711,54.75726233,37.18810952
2223:048960.000,2938712.662,2229643.179,5186003.734,54.75726280,37.18810927
2223:048960.200,2938712.652,2229643.169,5186003.741,54.75726319,37.18810884
2223:048960.400,2938712.648,2229643.154,5186003.753,54.75726333,37.18810881
2223:048960.600,2938712.629,2229643.130,5186003.778,54.75726348,37.18810866
2223:048960.800,2938712.619,2229643.094,5186003.782,54.75726383,37.18810855
2223:048961.000,2938712.617,2229643.087,5186003.784,54.75726407,37.18810820
2223:048961.200,2938712.621,2229643.083,5186003.788,54.75726412,37.18810813
2223:048961.400,2938712.625,2229643.081,5186003.791,54.75726414,37.18810803
2223:048961.600,2938712.622,2229643.078,5186003.792,54.75726414,37.18810798
2223:048961.800,2938712.623,2229643.080,5186003.792,54.75726418,37.18810797
2223:048962.000,2938712.607,2229643.077,5186003.808,54.75726416,37.18810798
2223:048962.200,2938712.581,2229643.015,5186003.845,54.75726435,37.18810809
2223:048962.400,2938712.560,2229642.982,5186003.863,54.75726497,37.18810757
2223:048962.600,2938712.556,2229642.940,5186003.876,54.75726533,37.18810736
2223:048962.800,2938712.543,2229642.890,5186003.904,54.75726561,37.18810688
2223:048963.000,2938712.528,2229642.849,5186003.931,54.75726605,37.18810638
2223:048963.200,2938712.507,2229642.807,5186003.960,54.75726646,37.18810602
2223:048963.400,2938712.495,2229642.776,5186003.982,54.75726692,37.18810570
2223:048963.600,2938712.462,2229642.738,5186004.017,54.75726724,37.18810542
2223:048963.800,2938712.427,2229642.716,5186004.038,54.75726778,37.18810526
2223:048964.000,2938712.411,2229642.683,5186004.062,54.75726820,37.18810532
2223:048964.200,2938712.407,2229642.630,5186004.092,54.75726856,37.18810506
2223:048964.400,2938712.394,2229642.583,5186004.117,54.75726897,37.18810444
2223:048964.600,2938712.381,2229642.552,5186004.141,54.75726939,37.18810398
2223:048964.800,2938712.374,2229642.513,5186004.166,54.75726972,37.18810372
2223:048965.000,2938712.362,2229642.444,5186004.201,54.75727006,37.18810330
2223:048965.200,2938712.379,2229642.428,5186004.194,54.75727063,37.18810256
2223:048965.400,2938712.371,2229642.409,5186004.207,54.75727056,37.18810220
2223:048965.600,2938712.379,2229642.390,5186004.208,54.75727076,37.18810204
2223:048965.800,2938712.375,2229642.351,5186004.230,54.75727081,37.18810174
2223:048966.000,2938712.369,2229642.315,5186004.248,54.75727112,37.18810129
2223:048966.200,2938712.374,2229642.307,5186004.241,54.75727140,37.18810090
2223:048966.400,2938712.383,2229642.317,5186004.242,54.75727137,37.18810075
2223:048966.600,2938712.373,2229642.315,5186004.246,54.75727128,37.18810079
2223:048966.800,2938712.382,2229642.326,5186004.244,54.75727137,37.18810087
2223:048967.000,2938712.391,2229642.334,5186004.241,54.75727125,37.18810092
2223:048967.200,2938712.387,2229642.322,5186004.239,54.75727116,37.18810093
2223:048967.400,2938712.386,2229642.317,5186004.240,54.75727122,37.18810082
2223:048967.600,2938712.384,2229642.323,5186004.238,54.75727125,37.18810077
2223:048967.800,2938712.379,2229642.319,5186004.237,54.75727122,37.18810086
2223:048968.000,2938712.381,2229642.323,5186004.241,54.75727127,37.18810086
2223:048968.200,2938712.376,2229642.335,5186004.246,54.75727126,37.18810090
2223:048968.400,2938712.382,2229642.337,5186004.238,54.75727126,37.18810109
2223:048968.600,2938712.430,2229642.334,5186004.203,54.75727117,37.18810105
2223:048968.800,2938712.452,2229642.337,5186004.191,54.75727073,37.18810057
2223:048969.000,2938712.523,2229642.352,5186004.148,54.75727053,37.18810040
2223:048969.200,2938712.591,2229642.369,5186004.088,54.75726982,37.18809992
2223:048969.400,2938712.589,2229642.377,5186004.075,54.75726904,37.18809948
2223:048969.600,2938712.643,2229642.388,5186004.045,54.75726894,37.18809960
2223:048969.800,2938712.681,2229642.392,5186004.022,54.75726842,37.18809923
2223:048970.000,2938712.683,2229642.391,5186004.023,54.75726806,37.18809892
2223:048970.200,2938712.731,2229642.392,5186004.001,54.75726806,37.18809890
2223:048970.400,2938712.805,2229642.416,5186003.951,54.75726766,37.18809845
2223:048970.600,2938712.888,2229642.411,5186003.898,54.75726687,37.18809806
2223:048970.800,2938712.894,2229642.413,5186003.900,54.75726612,37.18809722
2223:048971.000,2938712.942,2229642.428,5186003.873,54.75726609,37.18809719
2223:048971.200,2938712.954,2229642.436,5186003.868,54.75726561,37.18809692
2223:048971.400,2938713.013,2229642.441,5186003.853,54.75726548,37.18809690
2223:048971.600,2938713.050,2229642.464,5186003.835,54.75726504,37.18809641
2223:048971.800,2938713.183,2229642.461,5186003.776,54.75726462,37.18809635
2223:048972.000,2938713.200,2229642.466,5186003.764,54.75726355,37.18809506
2223:048972.200,2938713.241,2229642.479,5186003.728,54.75726337,37.18809497
2223:048972.400,2938713.288,2229642.478,5186003.712,54.75726288,37.18809475
2223:048972.600,2938713.363,2229642.488,5186003.679,54.75726253,37.18809429
2223:048972.800,2938713.391,2229642.491,5186003.656,54.75726188,37.18809371
2223:048973.000,2938713.409,2229642.490,5186003.639,54.75726158,37.18809349
2223:048973.200,2938713.405,2229642.491,5186003.639,54.75726139,37.18809330
2223:048973.400,2938713.408,2229642.495,5186003.639,54.75726141,37.18809335
