GPS time,X,Y,Z,Lat,Lon
2223:048653.400,2938716.040,2229641.487,5186002.896,54.75724662,37.18805619
2223:048653.600,2938716.055,2229641.491,5186002.886,54.75724660,37.18805619
2223:048653.800,2938716.074,2229641.497,5186002.874,54.75724645,37.18805610
2223:048654.000,2938716.091,2229641.498,5186002.863,54.75724625,37.18805600
2223:048654.200,2938716.104,2229641.501,5186002.852,54.75724609,37.18805586
2223:048654.400,2938716.113,2229641.503,5186002.848,54.75724594,37.18805576
2223:048654.600,2938716.112,2229641.501,5186002.848,54.75724587,37.18805570
2223:048654.800,2938716.112,2229641.501,5186002.845,54.75724588,37.18805569
2223:048655.000,2938716.111,2229641.506,5186002.845,54.75724586,37.18805569
2223:048655.200,2938716.107,2229641.529,5186002.841,54.75724585,37.18805576
2223:048655.400,2938716.098,2229641.555,5186002.839,54.75724575,37.18805608
2223:048655.600,2938716.095,2229641.585,5186002.832,54.75724567,37.18805649
2223:048655.800,2938716.084,2229641.602,5186002.830,54.75724552,37.18805688
2223:048656.000,2938716.078,2229641.617,5186002.826,54.75724549,37.18805720
2223:048656.200,2938716.076,2229641.624,5186002.824,54.75724545,37.18805744
2223:048656.400,2938716.074,2229641.631,5186002.820,54.75724542,37.18805754
2223:048656.600,2938716.070,2229641.638,5186002.818,54.75724538,37.18805766
2223:048656.800,2938716.073,2229641.630,5186002.818,54.75724536,37.18805777
2223:048657.000,2938716.078,2229641.616,5186002.821,54.75724538,37.18805766
2223:048657.200,2938716.081,2229641.598,5186002.826,54.75724542,37.18805743
2223:048657.400,2938716.095,2229641.572,5186002.831,54.75724551,37.18805717
2223:048657.600,2938716.103,2229641.534,5186002.838,54.75724557,37.18805673
2223:048657.800,2938716.109,2229641.507,5186002.840,54.75724573,37.18805617
2223:048658.000,2938716.111,2229641.496,5186002.842,54.75724583,37.18805579
2223:048658.200,2938716.116,2229641.481,5186002.842,54.75724587,37.18805563
2223:048658.400,2938716.121,2229641.456,5186002.848,54.75724591,37.18805541
2223:048658.600,2938716.131,2229641.429,5186002.861,54.75724602,37.18805504
2223:048658.800,2938716.133,2229641.408,5186002.868,54.75724615,37.18805462
2223:048659.000,2938716.134,2229641.391,5186002.872,54.75724627,37.18805434
2223:048659.200,2938716.140,2229641.373,5186002.872,54.75724636,37.18805412
2223:048659.400,2938716.144,2229641.358,5186002.874,54.75724640,37.18805384
2223:048659.600,2938716.146,2229641.351,5186002.877,54.75724646,37.18805362
2223:048659.800,2938716.145,2229641.351,5186002.876,54.75724649,37.18805351
2223:048660.000,2938716.165,2229641.354,5186002.866,54.75724649,37.18805353
2223:048660.200,2938716.202,2229641.369,5186002.839,54.75724631,37.18805338
2223:048660.400,2938716.232,2229641.376,5186002.818,54.75724589,37.18805321
2223:048660.600,2938716.262,2229641.379,5186002.797,54.75724557,37.18805302
2223:048660.800,2938716.275,2229641.381,5186002.786,54.75724528,37.18805278
2223:048661.000,2938716.274,2229641.382,5186002.788,54.75724514,37.18805268
2223:048661.200,2938716.272,2229641.389,5186002.783,54.75724515,37.18805270
2223:048661.400,2938716.267,2229641.403,5186002.777,54.75724510,37.18805280
2223:048661.600,2938716.264,2229641.418,5186002.773,54.75724504,37.18805302
2223:048661.800,2938716.261,2229641.431,5186002.769,54.75724498,37.18805324
2223:048662.000,2938716.256,2229641.452,5186002.763,54.75724491,37.18805343
2223:048662.200,2938716.251,2229641.475,5186002.757,54.75724481,37.18805373
2223:048662.400,2938716.246,2229641.498,5186002.753,54.75724471,37.18805406
2223:048662.600,2938716.240,2229641.522,5186002.752,54.75724462,37.18805440
2223:048662.800,2938716.236,2229641.547,5186002.749,54.75724454,37.18805475
2223:048663.000,2938716.231,2229641.568,5186002.745,54.75724443,37.18805509
2223:048663.200,2938716.224,2229641.587,5186002.740,54.75724435,37.18805540
2223:048663.400,2938716.223,2229641.598,5186002.738,54.75724428,37.18805570
2223:048663.600,2938716.219,2229641.613,5186002.733,54.75724423,37.18805586
2223:048663.800,2938716.215,2229641.624,5186002.732,54.75724416,37.18805607
2223:048664.000,2938716.213,2229641.636,5186002.729,54.75724413,37.18805624
2223:048664.200,2938716.205,2229641.650,5186002.728,54.75724407,37.18805640
2223:048664.400,2938716.206,2229641.662,5186002.725,54.75724405,37.18805666
2223:048664.600,2938716.209,2229641.641,5186002.730,54.75724398,37.18805680
2223:048664.800,2938716.214,2229641.608,5186002.736,54.75724408,37.18805651
2223:048665.000,2938716.224,2229641.581,5186002.741,54.75724423,37.18805606
2223:048665.200,2938716.235,2229641.546,5186002.749,54.75724431,37.18805563
2223:048665.400,2938716.245,2229641.506,5186002.758,54.75724445,37.18805510
2223:048665.600,2938716.257,2229641.472,5186002.761,54.75724461,37.18805449
2223:048665.800,2938716.266,2229641.440,5186002.770,54.75724471,37.18805397
2223:048666.000,2938716.282,2229641.409,5186002.773,54.75724484,37.18805349
2223:048666.200,2938716.289,2229641.397,5186002.769,54.75724490,37.18805296
2223:048666.400,2938716.288,2229641.396,5186002.769,54.75724489,37.18805274
2223:048666.600,2938716.308,2229641.386,5186002.752,54.75724491,37.18805273
2223:048666.800,2938716.302,2229641.388,5186002.757,54.75724474,37.18805243
2223:048667.000,2938716.303,2229641.380,5186002.761,54.75724480,37.18805250
2223:048667.200,2938716.303,2229641.380,5186002.760,54.75724485,37.18805240
2223:048667.400,2938716.302,2229641.379,5186002.759,54.75724484,37.18805240
2223:048667.600,2938716.302,2229641.378,5186002.760,54.75724485,37.18805239
2223:048667.800,2938716.303,2229641.380,5186002.758,54.75724485,37.18805238
2223:048668.000,2938716.304,2229641.382,5186002.758,54.75724483,37.18805240
2223:048668.200,2938716.302,2229641.380,5186002.759,54.75724482,37.18805242
2223:048668.400,2938716.302,2229641.381,5186002.760,54.75724484,37.18805241
2223:048668.600,2938716.301,2229641.380,5186002.758,54.75724484,37.18805243
2223:048668.800,2938716.299,2229641.380,5186002.759,54.75724484,37.18805242
2223:048669.000,2938716.300,2229641.380,5186002.758,54.75724485,37.18805244
2223:048669.200,2938716.300,2229641.380,5186002.758,54.75724485,37.18805243
2223:048669.400,2938716.299,2229641.379,5186002.759,54.75724485,37.18805243
